,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AAPL,0.02019780947599587,0.013050649992257048,0.01774768889956808,0.013737401026759603,0.022055096883636657,0.026007319326431654,0.027735935903299824,0.028594203568995696,0.030427056776097156,0.031158425945003617,0.033639820882043495,0.037796264709578066,0.03844126825135943,0.032378955556769964,0.046282039480264735,0.04758226087640638,0.03512547960447676,0.04278507961535817,0.028695065657262188,0.031155020197626893
IBM,0.036558973114917855,0.02996598260418598,0.03244044910866661,0.04135893451202526,0.034615930790381846,0.05528781709729549,0.055736094950819416,0.05592837530368823,0.05614970444374919,0.05705194568048737,0.058007868079742606,0.05543728433492726,0.07231121093493181,0.04621818615597836,0.05260058047723562,0.04677832696133894,0.049089102366673666,0.05147164769373357,0.050082244489835115,0.04415852958561747
PFE,0.050143495017118046,0.04220099684658423,0.03666292506292186,0.04658141132906318,0.05799047140058471,0.04415309027032957,0.044832688584172914,0.05197210713450371,0.0519061226117139,0.0527966333340456,0.04917714513772191,0.044800490619047215,0.039173350584634684,0.04819259842479649,0.045183526318053883,0.04065233112172375,0.04346813699349751,0.046663664921667763,0.04535832380988695,0.04982086966713252
JNJ,0.18197489016942342,0.09654576063304417,0.10369798979779174,0.09335761984027051,0.0794943869737549,0.07418288573657213,0.06975105977437678,0.06454398159576669,0.06547424455360058,0.06458718026803335,0.06574538737941352,0.0606448957648942,0.06382922687157436,0.0668234116656874,0.05852310984912466,0.05755413383468828,0.052383884935080914,0.05653028313671403,0.04732696813948333,0.051609839927353185
XOM,0.04341987023449062,0.030564289316562188,0.034919921091305504,0.03515153474834383,0.04799577174907653,0.06379980736184342,0.0686868877315134,0.07092088744076495,0.07233480234750476,0.06982899907051211,0.06608706123465759,0.06140309758832608,0.050193395477856804,0.04283537755470541,0.03999579117570573,0.03937370781251083,0.03723618656144757,0.0444051879375255,0.043357897253425065,0.04798151612328261
MRO,0.05338302789741989,0.028749216841447003,0.02615431932770968,0.03892676321486638,0.025098540403356732,0.025560600698334032,0.0269783326281939,0.030824370334477807,0.03139551183134829,0.03168060448293689,0.027460415009506606,0.02514088646662932,0.02624556692627167,0.02431621526271405,0.024263973060776926,0.02174370072212067,0.02183154129444611,0.024011392707394625,0.023763402109840633,0.017799512856560045
ED,0.0600806144590172,0.08015463006087381,0.0829772678660981,0.061221511232291796,0.09258902046277377,0.10048679679250948,0.10521177986466733,0.10159590349304778,0.10629376644098577,0.10655175306454674,0.1122631396398984,0.14620936017573782,0.11505631302885622,0.10173123858461892,0.09274817123504275,0.08885995619400794,0.08930275368488062,0.09836400654636179,0.11453895223432206,0.09153795076686659
T,0.027551496929630374,0.047809467254998614,0.046338977564915014,0.03705392796340595,0.05546877999525754,0.05697606427885138,0.05624839607246894,0.0561009957449055,0.05599144143147224,0.056381710811312484,0.05928076309289871,0.06760023466114691,0.059416130540488686,0.053508723607293314,0.05067124034110194,0.05514719580418482,0.061931856626360714,0.05820307155603414,0.06029900491678644,0.0568255283828152
VZ,0.04163759348481608,0.038040852970946844,0.03676480508471497,0.03700067561008283,0.05478736754592226,0.06069461255813388,0.060592150724248124,0.06075152082227307,0.05373749561130794,0.05693575814924765,0.06145817794314455,0.06987686735827264,0.06343806769083937,0.05404077653900679,0.04767263378379274,0.05941808236275376,0.08988612182091117,0.07003620723976678,0.05731296529482348,0.05400070596548724
NEM,0.02958246706084393,0.05001907508043107,0.052177482960470166,0.06353618643171893,0.04669470873893926,0.05157501709344291,0.04667107835780308,0.051127169280691054,0.053613012599738684,0.051188396470289894,0.05495460420575394,0.04008181593168505,0.06847684478007822,0.07307674466847333,0.09463092029257437,0.08680934577763909,0.07292901782383238,0.05591508006562328,0.04410594167507298,0.03988659120494785
