Date,BEN,ITW,CNP,K,MRO,SONC,AAP,PLD,AMAT,TSN,HTLF,ISRG,C,IEX,IFF,TMO,BIO,NOC,IVZ,FITB,RJF,JNJ,A,FMC,CL,SYK,NEE,VZ,REGN,WAT,MCHP,BWA,PKI,ZBH,LNC
2002-10-31,6.398059368133545,19.13460922241211,2.0313003063201904,16.338647842407227,4.541816711425781,9.293310165405272,11.79178524017334,13.954444885253906,9.659512519836426,6.9940104484558105,10.547653198242188,0.8355559706687927,218.22027587890625,9.230792999267578,20.617267608642575,16.82570457458496,35.95000076293945,25.612960815429688,4.954702854156494,30.04041862487793,5.688806056976318,30.514623641967773,8.078926086425781,2.7643260955810547,16.06699562072754,26.753894805908203,3.818383455276489,12.214585304260254,18.34000015258789,23.170000076293945,7.458991527557373,5.3227314949035645,7.1009440422058105,39.34267044067383,18.366838455200195
2002-11-30,6.459267616271973,18.75005149841309,3.128596782684326,16.935382843017578,4.714911460876465,10.506559371948242,13.976678848266602,14.079035758972168,9.361836433410645,5.89169454574585,10.748595237731934,1.4355560541152954,225.48570251464844,9.65703296661377,20.53734397888184,17.3037109375,35.75,25.347087860107425,4.838247776031494,28.55475807189941,5.795193195343018,33.66791534423828,8.04832649230957,2.7910258769989014,17.385950088500977,28.169553756713867,4.017446994781494,12.486566543579102,7.519999980926514,21.15999984741211,5.832371711730957,4.876285076141357,7.444273948669434,43.100563049316406,18.152894973754883
2002-12-31,6.845919132232666,20.629892349243164,3.5058038234710693,18.09019660949707,4.4788737297058105,11.146402359008787,15.031352996826172,13.804916381835938,10.879976272583008,7.320903778076172,10.748595237731934,1.3711110353469849,256.9031066894531,10.655094146728516,20.99314308166504,17.37062644958496,46.75,25.98222923278809,6.0341877937316895,27.980588912963867,6.424668788909912,32.789405822753906,9.80488109588623,3.225342035293579,18.3346004486084,27.49660301208496,4.149703979492188,13.34887981414795,6.329999923706055,24.01000022888184,6.096149921417236,5.99869441986084,8.372618675231934,41.5672607421875,20.95517349243164
2003-01-31,7.682901859283447,21.30659866333008,3.660961627960205,19.133220672607425,5.231818675994873,10.510685920715332,18.403884887695312,14.244858741760254,11.78787899017334,8.108355522155762,15.006319999694824,1.6644439697265625,281.5736999511719,12.1237211227417,21.19785499572754,20.095251083374023,55.34999847412109,25.610185623168945,7.592975616455078,32.80580520629883,7.4239501953125,30.20906639099121,11.965381622314451,4.02811861038208,18.584741592407227,28.464998245239254,4.598053932189941,14.088101387023926,15.760000228881836,29.1299991607666,7.261745452880859,6.584555149078369,11.65583610534668,39.9276123046875,23.36148452758789
2003-02-28,8.544204711914062,22.53614044189453,3.625025749206543,19.110952377319336,5.110701084136963,10.085429191589355,20.528343200683597,14.421927452087402,14.481820106506348,8.650443077087402,13.318106651306152,1.6666669845581057,297.0298156738281,12.426580429077148,20.01613426208496,21.27113342285156,56.0,27.376096725463867,8.364221572875977,31.428916931152344,7.80581521987915,30.261653900146484,13.299631118774414,4.254178047180176,17.584951400756836,31.398889541625977,4.241764545440674,12.620272636413574,15.399999618530272,31.709999084472656,7.751733779907227,6.845389366149902,12.601812362670898,42.3737907409668,24.7005558013916
2003-03-31,8.693656921386719,21.514877319335938,4.168951034545898,18.70562744140625,5.710864543914795,10.39926528930664,21.42586708068848,15.812793731689451,13.49205493927002,10.828495025634766,13.091898918151855,1.852221965789795,301.7373352050781,12.238502502441406,22.067827224731445,20.74532699584961,51.0,25.697229385375977,8.333499908447266,31.894968032836918,8.18537425994873,29.072065353393555,13.532207489013672,4.485575199127197,18.000429153442383,30.90238380432129,4.3888325691223145,11.697187423706056,17.670000076293945,27.43000030517578,7.036591053009033,6.956111431121826,12.983433723449709,48.83487701416016,23.404003143310547
2003-04-30,9.340317726135254,23.881977081298828,4.459914207458496,18.58222770690918,5.925274848937988,11.476332664489746,23.637962341308597,15.602095603942873,17.36181640625,10.93578052520752,13.294255256652832,1.611111044883728,316.5965270996094,12.534076690673828,22.081178665161133,21.01301383972168,52.25,26.64500617980957,8.640721321105957,33.405277252197266,9.18518352508545,29.547595977783203,15.252037048339844,4.985753059387207,17.202499389648438,33.282344818115234,4.426332473754883,12.256315231323242,13.84000015258789,31.43000030517578,9.629789352416992,8.17812728881836,15.33478832244873,56.55453109741211,26.650650024414062
2003-05-31,10.271319389343262,27.324262619018555,4.450586795806885,21.510217666625977,6.686636924743652,12.677200317382812,24.59895133972168,17.324798583984375,16.699501037597656,10.176199913024902,13.179760932922363,1.8988889455795288,324.2108764648437,14.020769119262695,23.40516471862793,24.091346740722656,57.66999816894531,28.616214752197266,8.08662223815918,34.109344482421875,8.509570121765137,30.47369956970215,17.896047592163086,6.075108051300049,16.186973571777344,34.94203567504883,4.586093425750732,12.796175956726074,14.710000038146973,33.15999984741211,9.80876350402832,8.741216659545898,14.534409523010254,62.39519119262695,26.944320678710938
2003-06-30,11.00232982635498,25.8807373046875,5.300833702087402,22.307153701782227,6.855184078216553,14.18756866455078,24.5808219909668,19.58524703979492,15.873451232910156,13.909059524536133,13.271010398864746,1.8855559825897217,348.1460266113281,14.706889152526855,23.89698982238769,27.03584861755371,56.369998931884766,29.576343536376957,8.431742668151855,32.14160919189453,8.436978340148926,30.051177978515625,19.35882568359375,7.621920108795166,17.903736114501953,36.38887023925781,4.730443954467773,13.469390869140623,13.579999923706056,40.84000015258789,7.775065898895264,8.73923110961914,17.684410095214844,65.39087677001953,31.855388641357425
2003-07-31,10.834373474121094,28.1607666015625,5.004021644592285,24.38779640197754,6.83278751373291,13.316631317138672,26.079729080200195,16.15003204345703,13.596247673034668,14.440760612487791,12.196520805358888,1.8011109828948977,326.5333251953125,16.032695770263672,24.40185546875,27.915372848510746,58.59999847412109,29.82579231262207,7.456493377685547,31.183815002441406,8.528651237487793,32.012306213378906,16.53120231628418,7.634377002716064,18.88764190673828,40.66362762451172,4.501881122589111,14.055459976196287,12.529999732971191,43.150001525878906,8.251808166503906,8.466217041015625,16.51051139831543,70.77070617675781,30.426105499267575
