,Dataset,U,K,Sharpe Ratio,Average Turnover,Elapsed Time
297,3,13,4,0.21087660203416664,0.13558913757222457,10.571398258209229
298,3,13,5,0.21087302082236403,0.13560544193333074,10.565250635147095
299,3,13,6,0.21059397592510803,0.1358185949728488,10.508972406387329
300,3,13,7,0.21022773982823292,0.13649179792522417,9.734246730804443
301,3,14,1,0.21002215523181456,0.13129023645249338,10.475332498550415
302,3,14,2,0.2120467356474341,0.13398181423174113,10.29322099685669
303,3,14,3,0.21099462764087615,0.1337351153591891,10.57149863243103
304,3,14,4,0.21068590646124472,0.13560184873341022,10.622963190078735
305,3,14,5,0.21038931420942783,0.13566998739056443,10.553342342376709
306,3,14,6,0.21056096408331912,0.1364424928783096,10.037008285522461
307,3,14,7,0.21006114772026518,0.13717801206345584,9.631051540374756
308,3,15,1,0.20961100778665467,0.13194202156628862,10.486458539962769
309,3,15,2,0.21205123895479586,0.13525998589524033,10.394628524780273
310,3,15,3,0.21095955095610797,0.13445786386271727,10.607345819473267
311,3,15,4,0.21079011207422185,0.13731838499326096,10.6466646194458
312,3,15,5,0.21059201856373613,0.13787483473944465,10.256957530975342
313,3,15,6,0.21038626741390984,0.1369462254471644,9.834012985229492
314,3,15,7,0.20992458898892452,0.13811258647960156,9.537444829940796
