Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1994-04-30,1678.385821,664.2611728,440.5048832,705.5700944,1610.240999,977.8909201,1056.529721,198.4490444,404.9479052,1402.947557,545.508486,1321.891994,3011.485733,340.7078316,316.8957755
1994-05-31,1643.643235,628.3246433,444.5575282,717.282558,1621.512686,953.2480689,1092.240426,195.6906027,409.037879,1448.823942,562.5283508,1369.083538,2946.136492,347.2153512,312.364166
1994-06-30,1587.101908,593.8296204,430.1094085,722.3752641,1539.788447,937.424151,1036.42694,194.0468016,392.6763639,1427.815995,551.3902894,1332.802824,2811.203441,332.6670279,304.8986624
1994-07-31,1655.029869,593.7108545,441.8083844,745.4912726,1618.471636,945.7672259,1112.811605,198.8203529,400.0979472,1514.627207,552.437931,1387.31446,2965.53851,336.0269649,311.6674127
1994-08-31,1625.073829,616.4499802,472.5140671,754.1389714,1766.885485,988.8942114,1116.372602,207.3497461,413.9413361,1599.597794,578.4025137,1472.079374,3118.856851,350.3753163,329.3077882
1994-09-30,1536.994827,580.6958814,466.8438983,745.8434427,1750.276762,964.2707455,1094.491699,200.07177,401.3575195,1610.954938,548.1520623,1456.033708,3196.516386,372.5190363,320.6469934
1994-10-31,1519.473086,578.779585,472.3526563,745.1721836,1871.395914,975.263432,1108.610642,202.5526599,405.0901444,1560.854239,559.2795491,1459.819396,3316.066099,339.0668269,328.4066507
1994-11-30,1442.283853,561.8792211,461.6774863,704.5602996,1829.102366,951.0768989,1048.413084,190.4805214,395.1249269,1489.991457,542.8367304,1344.785628,3344.915874,305.0584241,315.6644726
1994-12-31,1510.648108,573.6786847,466.7097709,710.9013423,1882.146335,904.3790232,1145.391295,195.813976,405.2796375,1546.015136,571.281375,1394.946131,3408.469276,313.8441067,320.6835377
1995-01-31,1416.987925,573.6786847,479.4509476,740.7591986,1870.477027,911.8853691,1151.118251,200.2393719,406.2928366,1529.781977,572.0240408,1357.003597,3505.269803,294.1346968,307.4393076
1995-02-28,1486.278635,594.2163816,495.4166642,751.9446625,1992.43213,931.3085274,1219.840011,202.5221007,429.5327869,1653.847295,607.2607218,1437.066809,3675.976443,307.106037,313.8033013
1995-03-31,1511.991255,566.8230065,505.1763725,754.0501076,2076.114279,967.9089526,1217.400331,208.4762505,435.0308065,1700.320404,652.5623716,1517.97367,3764.199877,341.1026753,321.5542428
1995-04-30,1549.18624,572.4345542,525.3329097,766.0395043,2268.777684,934.225721,1254.044081,211.1238988,425.6341411,1716.303416,678.0775603,1565.182651,3885.783533,334.689945,317.5669702
1995-05-31,1634.236565,595.2174495,538.8864988,770.8655532,2347.277392,960.3840412,1296.556175,221.1311717,442.787197,1752.174157,715.1684029,1614.95546,4212.966507,330.3055067,319.5041287
1995-06-30,1650.57893,603.4314503,538.1320577,800.6209635,2584.587136,1010.900242,1285.794759,226.8363559,454.6096151,1821.910689,750.3546883,1635.303899,4207.48965,332.2543092,330.047765
1995-07-31,1690.52294,625.6377276,533.773188,841.7728811,2810.221593,1051.538431,1337.612288,240.832159,469.1116619,1858.531093,800.1032041,1677.98533,4308.048653,359.0007811,354.7353378
1995-08-31,1695.425457,616.6285444,538.8974106,878.2216468,2806.568305,1014.419125,1337.478526,235.7265173,480.0888748,1876.930551,789.3818212,1670.769993,4237.82746,354.4055711,358.3181647
1995-09-30,1688.813298,603.8026706,567.8362016,927.6655255,2840.247125,1046.779095,1424.949622,232.1199016,492.6672033,1862.478186,830.903305,1719.222323,4630.250283,358.7647596,375.1591185
1995-10-31,1597.448498,550.8491764,583.5652644,926.5523269,2841.667249,961.2572429,1418.394854,222.7654695,476.5569857,1806.976336,814.4514195,1620.36704,4812.219119,323.5699367,362.4037084
1995-11-30,1684.828931,589.0230244,620.5049456,952.495792,2799.89474,1027.391741,1497.115768,234.9507407,508.2480253,1927.682355,886.6118153,1726.663117,5046.092968,357.3506381,365.0854959
1995-12-31,1762.162579,571.7057474,609.2117556,990.0241262,2675.579414,1011.056213,1596.97339,236.7598614,514.5503008,1922.863149,920.8350314,1763.095709,5005.724224,364.9622066,386.8080829
1996-01-31,1816.613403,549.2948821,626.5742906,1013.091688,2733.104371,996.2947918,1681.61298,243.4601655,512.0290043,1946.129794,926.9125426,1858.831806,5168.910834,419.268583,377.6794121
1996-02-29,1848.404137,550.6131899,623.8173638,990.8036712,2918.135537,1051.389894,1668.832721,247.136414,523.9592801,1925.890044,955.8322139,1910.135564,5458.886732,430.6307616,384.7420171
1996-03-31,1956.90546,565.3696233,631.9269895,972.2756426,2783.901302,1138.12956,1719.231469,259.4932347,525.3739702,1984.822279,991.675922,2022.451535,5562.60558,428.9082386,428.9488749
1996-04-30,2015.416933,584.9314123,656.4457567,998.5270849,3077.88128,1187.752009,1725.764549,266.4736027,540.3471283,2039.20641,1002.981027,2004.856207,5513.09839,433.5404475,452.155009
1996-05-31,2043.229687,618.6819548,677.7802438,999.1262012,3206.536717,1248.446137,1832.416798,277.9852623,559.2052431,2068.570982,1028.857938,1997.438239,6047.317624,445.9397043,488.5534873
1996-06-30,1935.551482,624.745038,686.0491628,1003.422444,3002.921636,1234.962918,1890.137927,274.482648,556.632899,2041.058988,1038.632088,1950.49844,6442.812197,396.663367,489.1397514
1996-07-31,1859.677864,602.3166911,663.2723305,917.7301672,2777.702513,1140.858744,1800.167362,255.3786557,517.6685961,2002.687079,1026.168503,1891.788437,6070.417652,385.3187947,467.9600002
